id,union_id,upazila_id:id,name,bn_name,url
union_id_1,1,upazila_id_1,Subil,সুবিল,subilup.comilla.gov.bd
union_id_2,2,upazila_id_1,North Gunaighor,উত্তর গুনাইঘর,gunaighornorthup.comilla.gov.bd
union_id_3,3,upazila_id_1,South Gunaighor,দক্ষিণ গুনাইঘর,gunaighorsouth.comilla.gov.bd
union_id_4,4,upazila_id_1,Boroshalghor,বড়শালঘর,boroshalghorup.comilla.gov.bd
union_id_5,5,upazila_id_1,Rajameher,রাজামেহার,rajameherup.comila.gov.bd
union_id_6,6,upazila_id_1,Yousufpur,ইউসুফপুর,yousufpurup.comilla.gov.bd
union_id_7,7,upazila_id_1,Rasulpur,রসুলপুর,rasulpurup.comilla.gov.bd
union_id_8,8,upazila_id_1,Fatehabad,ফতেহাবাদ,fatehabadup.comilla.gov.bd
union_id_9,9,upazila_id_1,Elahabad,এলাহাবাদ,elahabadup.comilla.gov.bd
union_id_10,10,upazila_id_1,Jafargonj,জাফরগঞ্জ,jafargonjup.comilla.gov.bd
union_id_11,11,upazila_id_1,Dhampti,ধামতী,dhamptiup.comilla.gov.bd
union_id_12,12,upazila_id_1,Mohanpur,মোহনপুর,mohanpurup.comilla.gov.bd
union_id_13,13,upazila_id_1,Vani,ভানী,vaniup.comilla.gov.bd
union_id_14,14,upazila_id_1,Barkamta,বরকামতা,barkamtaup.comilla.gov.bd
union_id_15,15,upazila_id_1,Sultanpur,সুলতানপুর,sultanpurup.comilla.gov.bd
union_id_16,16,upazila_id_2,Aganagar,আগানগর,aganagarup.comilla.gov.bd
union_id_17,17,upazila_id_2,Bhabanipur,ভবানীপুর,bhabanipurup.comilla.gov.bd
union_id_18,18,upazila_id_2,North Khoshbas,উত্তর খোশবাস,khoshbasnorthup.comilla.gov.bd
union_id_19,19,upazila_id_2,South Khoshbas,দক্ষিন খোশবাস,khoshbassouthup.comilla.gov.bd
union_id_20,20,upazila_id_2,Jhalam,ঝলম,jhalamup.comilla.gov.bd
union_id_21,21,upazila_id_2,Chitodda,চিতড্ডা,chitoddaup.comilla.gov.bd
union_id_22,22,upazila_id_2,North Shilmuri,উত্তর শিলমুড়ি,shilmurinorthup.comilla.gov.bd
union_id_23,23,upazila_id_2,South Shilmuri,দক্ষিন শিলমুড়ি,shilmurisouthup.comilla.gov.bd
union_id_24,24,upazila_id_2,Galimpur,গালিমপুর,galimpurup.comilla.gov.bd
union_id_25,25,upazila_id_2,Shakpur,শাকপুর,shakpurup.comilla.gov.bd
union_id_26,26,upazila_id_2,Bhaukshar,ভাউকসার,bhauksharup.comilla.gov.bd
union_id_27,27,upazila_id_2,Adda,আড্ডা,addaup.comilla.gov.bd
union_id_28,28,upazila_id_2,Adra,আদ্রা,adraup.comilla.gov.bd
union_id_29,29,upazila_id_2,Payalgacha,পয়ালগাছা,payalgachaup.comilla.gov.bd
union_id_30,30,upazila_id_2,Laxmipur,লক্ষীপুর,laxmipurup.comilla.gov.bd
union_id_31,31,upazila_id_3,Shidli,শিদলাই,shidliup.comilla.gov.bd
union_id_32,32,upazila_id_3,Chandla,চান্দলা,chandlaup.comilla.gov.bd
union_id_33,33,upazila_id_3,Shashidal,শশীদল,shashidalup.comilla.gov.bd
union_id_34,34,upazila_id_3,Dulalpur,দুলালপুর,dulalpurup2.comilla.gov.bd
union_id_35,35,upazila_id_3,Brahmanpara Sadar,ব্রাহ্মনপাড়া সদর,brahmanparasadarup.comilla.gov.bd
union_id_36,36,upazila_id_3,Shahebabad,সাহেবাবাদ,shahebabadup.comilla.gov.bd
union_id_37,37,upazila_id_3,Malapara,মালাপাড়া,malaparaup.comilla.gov.bd
union_id_38,38,upazila_id_3,Madhabpur,মাধবপুর,madhabpurup.comilla.gov.bd
union_id_39,39,upazila_id_4,Shuhilpur,সুহিলপুর,shuhilpurup.comilla.gov.bd
union_id_40,40,upazila_id_4,Bataghashi,বাতাঘাসি,bataghashiup.comilla.gov.bd
union_id_41,41,upazila_id_4,Joag,জোয়াগ,joagup.comilla.gov.bd
union_id_42,42,upazila_id_4,Borcarai,বরকরই,borcaraiup.comilla.gov.bd
union_id_43,43,upazila_id_4,Madhaiya,মাধাইয়া,madhaiyaup.comilla.gov.bd
union_id_44,44,upazila_id_4,Dollai Nowabpur,দোল্লাই নবাবপুর,dollainowabpurup.comilla.gov.bd
union_id_45,45,upazila_id_4,Mohichial,মহিচাইল,mohichialup.comilla.gov.bd
union_id_46,46,upazila_id_4,Gollai,গল্লাই,gollaiup.comilla.gov.bd
union_id_47,47,upazila_id_4,Keronkhal,কেরণখাল,keronkhalup.comilla.gov.bd
union_id_48,48,upazila_id_4,Maijkhar,মাইজখার,maijkharup.comilla.gov.bd
union_id_49,49,upazila_id_4,Etberpur,এতবারপুর,etberpurup.comilla.gov.bd
union_id_50,50,upazila_id_4,Barera,বাড়েরা,bareraup.comilla.gov.bd
union_id_51,51,upazila_id_4,Borcoit,বরকইট,borcoitup.comilla.gov.bd
union_id_52,52,upazila_id_5,Sreepur,শ্রীপুর,sreepurup.comilla.gov.bd
union_id_53,53,upazila_id_5,Kashinagar,কাশিনগর,kashinagarup.comilla.gov.bd
union_id_54,54,upazila_id_5,Kalikapur,কালিকাপুর,kalikapurup.comilla.gov.bd
union_id_55,55,upazila_id_5,Shuvapur,শুভপুর,shuvapurup.comilla.gov.bd
union_id_56,56,upazila_id_5,Ghulpasha,ঘোলপাশা,ghulpashaup.comilla.gov.bd
union_id_57,57,upazila_id_5,Moonshirhat,মুন্সীরহাট,moonshirhatup.comilla.gov.bd
union_id_58,58,upazila_id_5,Batisha,বাতিসা,batishaup.comilla.gov.bd
union_id_59,59,upazila_id_5,Kankapait,কনকাপৈত,kankapaitup.comilla.gov.bd
union_id_60,60,upazila_id_5,Cheora,চিওড়া,cheoraup.comilla.gov.bd
union_id_61,61,upazila_id_5,Jagannatdighi,জগন্নাথদিঘী,jagannatdighiup.comilla.gov.bd
union_id_62,62,upazila_id_5,Goonabati,গুনবতী,goonabatiup.comilla.gov.bd
union_id_63,63,upazila_id_5,Alkara,আলকরা,alkaraup.comilla.gov.bd
union_id_64,64,upazila_id_6,Doulotpur,দৌলতপুর,doulotpurup.comilla.gov.bd
union_id_65,65,upazila_id_6,Daudkandi,দাউদকান্দি,daudkandinorthup.comilla.gov.bd
union_id_66,66,upazila_id_6,North Eliotgonj,উত্তর ইলিয়টগঞ্জ,eliotgonjnorthup.comilla.gov.bd
union_id_67,67,upazila_id_6,South Eliotgonj,দক্ষিন ইলিয়টগঞ্জ,eliotgonjsouthup.comilla.gov.bd
union_id_68,68,upazila_id_6,Zinglatoli,জিংলাতলী,zinglatoliup.comilla.gov.bd
union_id_69,69,upazila_id_6,Sundolpur,সুন্দলপুর,sundolpurup.comilla.gov.bd
union_id_70,70,upazila_id_6,Gouripur,গৌরীপুর,gouripurup.comilla.gov.bd
union_id_71,71,upazila_id_6,East Mohammadpur,পুর্ব মোহাম্মদপুর,mohammadpureastup.comilla.gov.bd
union_id_72,72,upazila_id_6,West Mohammadpur,পশ্চিম মোহাম্মদপুর,mohammadpurwestup.comilla.gov.bd
union_id_73,73,upazila_id_6,Goalmari,গোয়ালমারী,goalmariup.comilla.gov.bd
union_id_74,74,upazila_id_6,Maruka,মারুকা,marukaup.comilla.gov.bd
union_id_75,75,upazila_id_6,Betessor,বিটেশ্বর,betessorup.comilla.gov.bd
union_id_76,76,upazila_id_6,Podua,পদুয়া,poduaup.comilla.gov.bd
union_id_77,77,upazila_id_6,West Passgacia,পশ্চিম পাচঁগাছিয়া,passgaciawestup.comilla.gov.bd
union_id_78,78,upazila_id_6,Baropara,বারপাড়া,baroparaup2.comilla.gov.bd
union_id_79,79,upazila_id_7,Mathabanga,মাথাভাঙ্গা,mathabangaup.comilla.gov.bd
union_id_80,80,upazila_id_7,Gagutiea,ঘাগুটিয়া,gagutieaup.comilla.gov.bd
union_id_81,81,upazila_id_7,Asadpur,আছাদপুর,asadpurup.comilla.gov.bd
union_id_82,82,upazila_id_7,Chanderchor,চান্দেরচর,chanderchorup.comilla.gov.bd
union_id_83,83,upazila_id_7,Vashania,ভাষানিয়া,vashaniaup.comilla.gov.bd
union_id_84,84,upazila_id_7,Nilokhi,নিলখী,nilokhiup.comilla.gov.bd
union_id_85,85,upazila_id_7,Garmora,ঘারমোড়া,garmoraup.comilla.gov.bd
union_id_86,86,upazila_id_7,Joypur,জয়পুর,joypurup.comilla.gov.bd
union_id_87,87,upazila_id_7,Dulalpur,দুলালপুর,dulalpurup1.comilla.gov.bd
union_id_88,88,upazila_id_8,Bakoi,বাকই,bakoiup.comilla.gov.bd
union_id_89,89,upazila_id_8,Mudafargonj,মুদাফফর গঞ্জ,mudafargonjup.comilla.gov.bd
union_id_90,90,upazila_id_8,Kandirpar,কান্দিরপাড়,kandirparup.comilla.gov.bd
union_id_91,91,upazila_id_8,Gobindapur,গোবিন্দপুর,gobindapurup.comilla.gov.bd
union_id_92,92,upazila_id_8,Uttarda,উত্তরদা,uttardaup.comilla.gov.bd
union_id_93,93,upazila_id_8,Laksam Purba,লাকসাম পুর্ব,laksampurbaup.comilla.gov.bd
union_id_94,94,upazila_id_8,Azgora,আজগরা,azgoraup.comilla.gov.bd
union_id_95,95,upazila_id_9,Sreekil,শ্রীকাইল,sreekilup.comilla.gov.bd
union_id_96,96,upazila_id_9,Akubpur,আকুবপুর,akubpurup.comilla.gov.bd
union_id_97,97,upazila_id_9,Andicot,আন্দিকোট,andicotup.comilla.gov.bd
union_id_98,98,upazila_id_9,Purbadair (East),পুর্বধৈইর (পুর্ব),purbadaireastup.comilla.gov.bd
union_id_99,99,upazila_id_9,Purbadair (West),পুর্বধৈইর (পশ্চিম),purbadairwestup.comilla.gov.bd
union_id_100,100,upazila_id_9,Bangara (East),বাঙ্গরা (পূর্ব),bangaraeastup.comilla.gov.bd
union_id_101,101,upazila_id_9,Bangara (West),বাঙ্গরা (পশ্চিম),bangarawestup.comilla.gov.bd
union_id_102,102,upazila_id_9,Chapitala,চাপিতলা,chapitalaup.comilla.gov.bd
union_id_103,103,upazila_id_9,Camalla,কামাল্লা,camallaup.comilla.gov.bd
union_id_104,104,upazila_id_9,Jatrapur,যাত্রাপুর,jatrapurup.comilla.gov.bd
union_id_105,105,upazila_id_9,Ramachandrapur (North),রামচন্দ্রপুর (উত্তর),ramachandrapurnorthup.comilla.gov.bd
union_id_106,106,upazila_id_9,Ramachandrapur (South),রামচন্দ্রপুর (দক্ষিন),ramachandrapursouthup.comilla.gov.bd
union_id_107,107,upazila_id_9,Muradnagar Sadar,মুরাদনগর সদর,muradnagarsadarup.comilla.gov.bd
union_id_108,108,upazila_id_9,Nobipur (East),নবীপুর (পুর্ব),nobipureastup.comilla.gov.bd
