id,upazila_id,district_id:id,name,bn_name,url
upazila_id_1,1,district_id_1,Debidwar,দেবিদ্বার,debidwar.comilla.gov.bd
upazila_id_2,2,district_id_1,Barura,বরুড়া,barura.comilla.gov.bd
upazila_id_3,3,district_id_1,Brahmanpara,ব্রাহ্মণপাড়া,brahmanpara.comilla.gov.bd
upazila_id_4,4,district_id_1,Chandina,চান্দিনা,chandina.comilla.gov.bd
upazila_id_5,5,district_id_1,Chauddagram,চৌদ্দগ্রাম,chauddagram.comilla.gov.bd
upazila_id_6,6,district_id_1,Daudkandi,দাউদকান্দি,daudkandi.comilla.gov.bd
upazila_id_7,7,district_id_1,Homna,হোমনা,homna.comilla.gov.bd
upazila_id_8,8,district_id_1,Laksam,লাকসাম,laksam.comilla.gov.bd
upazila_id_9,9,district_id_1,Muradnagar,মুরাদনগর,muradnagar.comilla.gov.bd
upazila_id_10,10,district_id_1,Nangalkot,নাঙ্গলকোট,nangalkot.comilla.gov.bd
upazila_id_11,11,district_id_1,Comilla Sadar,কুমিল্লা সদর,comillasadar.comilla.gov.bd
upazila_id_12,12,district_id_1,Meghna,মেঘনা,meghna.comilla.gov.bd
upazila_id_13,13,district_id_1,Monohargonj,মনোহরগঞ্জ,monohargonj.comilla.gov.bd
upazila_id_14,14,district_id_1,Sadarsouth,সদর দক্ষিণ,sadarsouth.comilla.gov.bd
upazila_id_15,15,district_id_1,Titas,তিতাস,titas.comilla.gov.bd
upazila_id_16,16,district_id_1,Burichang,বুড়িচং,burichang.comilla.gov.bd
upazila_id_17,17,district_id_1,Lalmai,লালমাই,lalmai.comilla.gov.bd
upazila_id_18,18,district_id_2,Chhagalnaiya,ছাগলনাইয়া,chhagalnaiya.feni.gov.bd
upazila_id_19,19,district_id_2,Feni Sadar,ফেনী সদর,sadar.feni.gov.bd
upazila_id_20,20,district_id_2,Sonagazi,সোনাগাজী,sonagazi.feni.gov.bd
upazila_id_21,21,district_id_2,Fulgazi,ফুলগাজী,fulgazi.feni.gov.bd
upazila_id_22,22,district_id_2,Parshuram,পরশুরাম,parshuram.feni.gov.bd
